id	name
0	Barbell Curl 
1	Barbell Shrug 
2	Bench Press 
3	Bent Over Row 
4	Chin Ups 
5	Clean 
6	Clean and Jerk 
7	Clean and Press 
8	Crunches 
9	Deadlift 
10	Decline Bench Press 
11	Dips 
12	Dumbbell Bench Press 
13	Dumbbell Concentration Curl 
14	Dumbbell Curl 
15	Dumbbell Fly 
16	Dumbbell Front Raise 
17	Dumbbell Lateral Raise 
18	Dumbbell Lunge 
19	Dumbbell Row 
20	Dumbbell Shoulder Press 
21	Dumbbell Shrug 
22	Dumbbell Tricep Extension 
23	Front Squat 
24	Good Morning 
25	Hammer Curl 
26	Hex Bar Deadlift 
27	Hip Thrust 
28	Horizontal Leg Press 
29	Incline Bench Press 
30	Incline Dumbbell Bench Press 
31	Incline Dumbbell Fly 
32	Lat Pulldown 
33	Leg Extension 
34	Lying Dumbbell Tricep Extension 
35	Lying Leg Curl 
36	Lying Tricep Extension 
37	Machine Calf Raise 
38	Meadow Rows
39	Muscle Ups 
40	Overhead Squat 
41	Pendlay Row 
42	Power Clean 
43	Preacher Curl 
44	Pull Ups 
45	Push Jerk 
46	Push Press 
47	Push Ups 
48	Romanian Deadlift 
49	Seated Leg Curl 
50	Shoulder Press 
51	Single Leg Squat 
52	Sit Ups 
53	Sled Leg Press 
54	Snatch 
55	Squat 
56	Strength Level 
57	Sumo Deadlift 
58	T Bar Row 
59	Thruster 
60	Tricep Extension 
61	Tricep Pushdown 
62	Tricep Rope Pushdown 
63	Upright Row 
